"","id","company_final"
"1053",1053,"lmg capital"
"1054",1054,"department of computer"
"1055",1055,"asu"
"1056",1056,"dental web"
"1057",1057,"jpmorgan chase"
"1058",1058,"cisco"
"1059",1059,"mvc architecture"
"1060",1060,"mvc architecture"
"1061",1061,"citi"
"1062",1062,"google"
"1063",1063,"oracle"
"1064",1064,NA
"1065",1065,"ibm"
"1066",1066,"l.l.bean"
"1067",1067,"hp"
"1068",1068,"microsoft"
"1069",1069,"upmc company"
"1070",1070,"innova solutions,"
"1071",1071,"hp"
"1072",1072,"mvc architecture"
"1073",1073,"stanford university"
"1074",1074,"chief"
"1075",1075,NA
"1076",1076,"chief"
"1077",1077,"ptc"
"1078",1078,"amazon"
"1079",1079,"united health"
"1080",1080,"intel"
"1081",1081,"visteon corporation"
"1082",1082,"cem"
"1083",1083,"cisco"
"1084",1084,"general electric"
"1085",1085,"intel"
"1086",1086,"rutgers university,"
"1087",1087,"asu"
"1088",1088,"hp"
"1089",1089,"onondaga county"
"1090",1090,"intermountain health"
"1091",1091,"hp"
"1092",1092,NA
"1093",1093,NA
"1094",1094,"south eugene"
"1095",1095,"mvc architecture"
"1096",1096,"cisco"
"1097",1097,"nokia"
"1098",1098,NA
"1099",1099,NA
"1100",1100,"intel"
"1101",1101,"asu"
"1102",1102,"microsoft"
"1103",1103,NA
"1104",1104,"cem"
"1105",1105,"microsoft"
"1106",1106,"google"
"1107",1107,"aig"
"1108",1108,NA
"1109",1109,"pivotal labs"
"1110",1110,"amazon"
"1111",1111,NA
"1112",1112,"mvc architecture"
"1113",1113,NA
"1114",1114,NA
"1115",1115,"ibm"
"1116",1116,"map communications"
"1117",1117,NA
"1118",1118,"asu"
"1119",1119,"infosys"
"1120",1120,NA
"1121",1121,NA
"1122",1122,"qualcomm"
"1123",1123,"dell"
"1124",1124,"deloitte"
"1125",1125,"gorkana group"
"1126",1126,"method to"
"1127",1127,"market day"
"1128",1128,"nuance"
"1129",1129,"pakedge device"
"1130",1130,"hp"
"1131",1131,"cisco"
"1132",1132,"sciquest"
"1133",1133,NA
"1134",1134,NA
"1135",1135,"mckesson duties:"
"1136",1136,"wipro accuen"
"1137",1137,"hp"
"1138",1138,NA
"1139",1139,"hp"
"1140",1140,"google"
"1141",1141,NA
"1142",1142,NA
"1143",1143,"g2 software"
"1144",1144,"career experienes"
"1145",1145,"mvc architecture"
"1146",1146,NA
"1147",1147,"aig"
"1148",1148,"google"
"1149",1149,NA
"1150",1150,NA
"1151",1151,NA
"1152",1152,NA
"1153",1153,NA
"1154",1154,"intel"
"1155",1155,"oxagile"
"1156",1156,NA
"1157",1157,"einstein"
"1158",1158,NA
"1159",1159,NA
"1160",1160,"best buy"
"1161",1161,NA
"1162",1162,"mvc architecture"
"1163",1163,"global bank"
"1164",1164,NA
"1165",1165,NA
"1166",1166,"us army"
"1167",1167,"j.crew group,"
"1168",1168,"verizon"
"1169",1169,"hp"
"1170",1170,NA
"1171",1171,NA
"1172",1172,NA
"1173",1173,NA
"1174",1174,"hp"
"1175",1175,NA
"1176",1176,"wells fargo"
"1177",1177,NA
"1178",1178,"hp"
"1179",1179,"hp"
"1180",1180,"independent contractor"
"1181",1181,"hp"
"1182",1182,"hp"
"1183",1183,"microsoft"
"1184",1184,"intel"
"1185",1185,NA
"1186",1186,"method to"
"1187",1187,"microsoft"
"1188",1188,"stanford university"
"1189",1189,"intel"
"1190",1190,"intel"
"1191",1191,"creative aero"
"1192",1192,"cugi eboard"
"1193",1193,"google"
"1194",1194,"general dynamics"
"1195",1195,NA
"1196",1196,NA
"1197",1197,"costume designer"
"1198",1198,NA
"1199",1199,"ashima devices"
"1200",1200,NA
"1201",1201,"u.s. naval"
"1202",1202,"ibm"
"1203",1203,NA
"1204",1204,"hp"
"1205",1205,"microsoft"
"1206",1206,"infinite computer"
"1207",1207,NA
"1208",1208,"oracle"
"1209",1209,NA
"1210",1210,NA
"1211",1211,"dynamic dreamz"
"1212",1212,"san antonio"
"1213",1213,NA
"1214",1214,"microsoft"
"1215",1215,"rbc financial"
"1216",1216,"mvc architecture"
"1217",1217,NA
"1218",1218,NA
"1219",1219,"ibm"
"1220",1220,"hisna"
"1221",1221,NA
"1222",1222,"stanley black"
"1223",1223,NA
"1224",1224,"asu"
"1225",1225,NA
"1226",1226,NA
"1227",1227,"uprev"
"1228",1228,"intel"
"1229",1229,"esri"
"1230",1230,"ibm"
"1231",1231,NA
"1232",1232,"microsoft"
"1233",1233,"google"
"1234",1234,"www.x-cd.com completely"
"1235",1235,NA
"1236",1236,"ponomusic"
"1237",1237,"university of maryland"
"1238",1238,"university of cambridge,"
"1239",1239,"hp"
"1240",1240,"oracle"
"1241",1241,NA
"1242",1242,"microsoft"
"1243",1243,"ii, qos"
"1244",1244,NA
"1245",1245,NA
"1246",1246,NA
"1247",1247,"selective insurance"
"1248",1248,"intel"
"1249",1249,"samsung electronics"
"1250",1250,"hp"
"1251",1251,"oracle"
"1252",1252,"comso inc,"
"1253",1253,"contata solutions"
"1254",1254,NA
"1255",1255,"marketsharp software"
"1256",1256,NA
